Scheduler,Scenario,TotalTasks,SlaViolations,SlaViolationRate_pct,Makespan_s,Throughput_tasks_per_s
RoundRobin,MorningPeak,3352,1850,55.19,36053.034,0.088841
SJF,MorningPeak,3352,1852,55.25,36029.078,0.089039
EnergyAware,MorningPeak,3352,1850,55.19,36029.078,0.088873
MultiObjective,MorningPeak,3352,1778,53.04,36008.109,0.093035
HybridMlMultiObjective,MorningPeak,3352,1777,53.01,36008.109,0.093090
RoundRobin,EveningIdle,527,20,3.80,14372.733,0.035345
SJF,EveningIdle,527,20,3.80,14365.471,0.035363
EnergyAware,EveningIdle,527,8,1.52,14365.471,0.036198
MultiObjective,EveningIdle,527,0,0.00,14365.471,0.036685
HybridMlMultiObjective,EveningIdle,527,0,0.00,14365.471,0.036685
RoundRobin,MixedDaily,10000,384,3.84,86393.471,0.111339
SJF,MixedDaily,10000,391,3.91,86415.155,0.111219
EnergyAware,MixedDaily,10000,397,3.97,86415.155,0.111149
MultiObjective,MixedDaily,10000,5,0.05,86393.471,0.115703
HybridMlMultiObjective,MixedDaily,10000,2,0.02,86393.471,0.115738
RoundRobin,FaultScenario,3352,1850,55.19,36053.034,0.088841
SJF,FaultScenario,3352,1852,55.25,36029.078,0.089039
EnergyAware,FaultScenario,3352,1850,55.19,36029.078,0.088873
MultiObjective,FaultScenario,3352,1778,53.04,36008.109,0.093035
HybridMlMultiObjective,FaultScenario,3352,1777,53.01,36008.109,0.093090
RoundRobin,EnergyFlexibility,10000,384,3.84,86393.471,0.111339
SJF,EnergyFlexibility,10000,391,3.91,86415.155,0.111219
EnergyAware,EnergyFlexibility,10000,397,3.97,86415.155,0.111149
MultiObjective,EnergyFlexibility,10000,5,0.05,86393.471,0.115703
HybridMlMultiObjective,EnergyFlexibility,10000,2,0.02,86393.471,0.115738
